date,open,high,low,close,volume,SMA10,SMA50,RSI7,
1658613600000,22244.84,22517.1,22231.89,22469.08,6207.95182,,,,
1658617200000,22469.08,22559.0,22426.72,22451.07,4617.61937,,,,
1658620800000,22448.58,22677.37,22448.58,22549.18,5346.444,,,,
1658624400000,22550.51,22589.28,22372.54,22423.58,3605.76684,,,,
1658628000000,22426.04,22483.28,22348.46,22469.09,3285.13041,,,,
1658631600000,22469.09,22476.13,22288.0,22331.86,2723.72942,,,,
1658635200000,22331.86,22412.43,22257.15,22396.51,2728.693,,,,
1658638800000,22396.51,22787.21,22390.24,22749.98,8067.04379,,,42.5814234016884,
1658642400000,22748.92,22768.36,22631.14,22679.0,4825.56751,,,68.1252046521218,
1658646000000,22680.38,22839.99,22667.13,22701.6,5261.22335,,,58.139797351524905,
1658649600000,22704.09,22744.37,22566.0,22681.91,4687.28807,22522.095,,70.01756811243584,
1658653200000,22681.91,22763.36,22598.5,22617.09,3794.09665,22543.378000000004,,65.91486943256268,
1658656800000,22618.27,22681.1,22480.0,22521.8,4166.45175,22559.980000000003,,73.92026299458259,
1658660400000,22521.8,22822.81,22507.74,22657.63,6687.37745,22557.242,,59.99361888809134,
1658664000000,22657.63,22774.56,22444.0,22495.59,6324.61375,22580.646999999997,,38.71606265731547,
1658667600000,22495.59,22597.92,22447.44,22569.34,4050.07019,22583.297,,31.66889879465093,
1658671200000,22567.75,22800.0,22533.73,22774.3,7379.40968,22607.045,,38.007326538754675,
1658674800000,22774.3,22911.31,22741.4,22847.08,5505.14419,22644.823999999997,,56.270615862845915,
1658678400000,22847.08,22880.87,22630.0,22709.01,5631.70121,22654.533999999996,,65.44282548848452,
1658682000000,22709.01,22852.47,22661.76,22772.14,4349.5313,22657.534999999996,,61.887405864648116,
1658685600000,22772.14,22794.55,22680.0,22712.48,2717.86344,22664.589,,58.01071733381818,
1658689200000,22712.48,22803.84,22663.44,22700.4,3236.08706,22667.646000000004,,67.7096431779209,
1658692800000,22699.12,22805.69,22670.21,22718.33,2719.01882,22675.977000000003,,61.8998329338273,
1658696400000,22718.33,22828.02,22671.41,22808.44,2965.26906,22695.630000000005,,42.30441358449102,
1658700000000,22806.47,23014.64,22555.27,22657.2,8908.24793,22710.711,,44.92886765709445,
1658703600000,22661.22,22759.56,22513.7,22579.68,6223.9039,22726.872000000003,,43.42762907522536,
1658707200000,22577.13,22666.0,22264.79,22320.27,9392.302,22727.906,,26.445390904195165,
1658710800000,22322.47,22328.15,22117.48,22205.42,6701.76156,22682.503,,17.761265186012977,
1658714400000,22205.55,22211.42,21863.0,21953.27,9808.82887,22618.337,,15.194217084352601,
1658718000000,21951.46,21958.03,21753.57,21867.75,7216.14297,22542.763,,9.532625253892746,
1658721600000,21867.75,21912.2,21737.82,21894.8,6648.73436,22452.323999999997,,0.0,
1658725200000,21892.53,21943.43,21808.01,21913.69,5519.21449,22370.555999999997,,3.312921004286494,
1658728800000,21915.22,21948.0,21820.15,21910.67,5947.116,22291.885,,6.0617256257667975,
1658732400000,21910.67,22002.62,21880.4,21962.33,4473.72966,22211.119,,9.160883783999097,
1658736000000,21962.33,22107.63,21868.36,22049.0,6888.49911,22126.508,,22.268361130758635,
1658739600000,22050.75,22110.98,21983.44,21999.44,5478.93106,22065.688000000002,,67.54517796268448,
1658743200000,21999.44,22081.6,21960.72,22051.51,4694.4869,22007.664,,77.8002955457035,
1658746800000,22051.51,22103.62,21913.46,21941.25,4986.26431,21980.788,,79.92133501355588,
1658750400000,21942.18,21994.23,21814.4,21976.18,5846.7767,21954.371000000003,,53.901030460876626,
1658754000000,21973.74,22003.12,21767.3,21899.76,9910.66868,21956.662,,58.504478774503674,
1658757600000,21899.68,21932.95,21683.4,21886.42,9837.79511,21959.863,,42.36783684223325,
1658761200000,21885.75,21932.27,21748.05,21895.79,6563.86248,21959.025,,25.848238160318374,
1658764800000,21893.94,21982.75,21837.77,21952.2,6109.28795,21957.235,,32.514592260198256,
1658768400000,21951.48,22021.47,21838.9,21863.12,4732.95441,21961.388000000003,,33.48851128919685,
1658772000000,21863.12,21942.62,21777.0,21824.28,4663.10645,21951.467,,36.0257556787696,
1658775600000,21824.28,21905.56,21552.53,21890.17,11695.11869,21928.995000000003,,23.206096098215255,
1658779200000,21892.66,22259.98,21886.27,22167.91,13609.9107,21918.068,,48.24313926647858,
1658782800000,22167.91,22188.44,21962.86,22025.2,4699.29664,21929.708,,76.19340070347819,
1658786400000,22022.79,22028.14,21509.79,21658.38,13814.15326,21938.103,,59.64781487169543,
1658790000000,21661.66,21759.98,21250.0,21310.9,11105.82407,21906.323,,35.02568597871736,
1658793600000,21310.9,21347.82,20971.4,20996.9,16688.36372,21847.436999999998,22289.2616,27.723722851518474,
1658797200000,20994.94,21122.0,20970.05,21076.7,7641.95576,21758.485,22259.818000000003,22.687239211958044,
1658800800000,21076.7,21126.73,21025.28,21071.81,4891.73237,21676.576,22232.3306,23.390795198063586,
1658804400000,21068.65,21234.56,20856.48,21141.53,11318.42022,21588.537,22202.7832,6.355021103766774,
1658808000000,21141.53,21272.21,21097.87,21126.91,5964.94785,21516.378,22177.142200000006,12.642152345037871,
1658811600000,21128.52,21179.33,21062.96,21145.03,4781.80892,21446.641,22150.298600000002,18.00339550396717,
1658815200000,21146.64,21167.05,21063.24,21079.27,5543.32043,21372.127,22126.562,33.45106255612046,
1658818800000,21076.98,21145.0,21017.21,21066.86,5707.27423,21263.263,22100.217200000003,66.28444901348334,
1658822400000,21066.86,21113.0,20986.35,21065.3,5846.82359,21167.428999999996,22066.554800000005,47.34799482535561,
1658826000000,21067.26,21161.37,21060.41,21120.36,4522.90944,21108.120999999996,22034.280800000004,48.21340358965854,
1658829600000,21119.09,21151.58,21046.1,21075.84,4112.27871,21089.067,22002.65600000001,43.68172864561619,
1658833200000,21077.53,21155.15,20932.7,21090.22,5860.84055,21096.960999999996,21970.53460000001,37.066301980448856,
1658836800000,21090.22,21196.58,20963.88,21033.31,8880.55389,21098.313000000002,21939.997200000013,35.851102276834894,
1658840400000,21033.31,21053.98,20774.74,20947.22,11498.36053,21094.463,21910.227400000007,37.567626054966944,
1658844000000,20947.22,21038.52,20833.17,20949.43,8470.46131,21075.032,21876.01920000001,26.860591056785253,
1658847600000,20947.42,20964.92,20706.5,20746.81,9220.50366,21057.284,21845.096000000005,27.645946675927362,
1658851200000,20746.81,20951.38,20734.79,20937.41,6801.87187,21017.462,21808.645400000005,4.078872962407544,
1658854800000,20937.41,21083.49,20901.43,20919.36,8702.84286,21003.275999999998,21771.907600000002,37.47942330999793,
1658858400000,20919.36,20999.3,20817.0,20905.71,6161.44876,20988.526,21733.35320000001,34.64814548591127,
1658862000000,20905.71,20944.36,20805.0,20915.57,6252.57802,20972.567000000003,21697.287200000006,37.5686839951675,
1658865600000,20911.55,20993.9,20809.53,20983.99,7878.06757,20952.087999999996,21660.155800000004,46.37863566671988,
1658869200000,20985.3,21119.99,20820.8,20942.82,6139.01901,20942.903,21625.586000000007,53.434022257551796,
1658872800000,20942.82,21165.51,20919.46,21110.33,7317.78448,20928.163,21590.434400000006,78.67739575713186,
1658876400000,21114.24,21300.0,21061.39,21254.67,7613.07551,20935.865,21558.274400000006,77.1323667859157,
1658880000000,21254.67,21284.0,21133.42,21208.13,6184.78886,20966.609999999997,21527.199,87.67951455219625,
1658883600000,21207.23,21235.21,21136.17,21157.37,5517.38198,20992.48,21498.217599999996,81.64448350912458,
1658887200000,21157.37,21204.11,21091.08,21186.7,5372.29459,21033.536,21469.7714,73.30647337779992,
1658890800000,21186.16,21201.4,21042.53,21076.86,4807.24293,21058.465000000004,21447.1,71.13103304492844,
1658894400000,21076.86,21137.77,21059.0,21108.72,4014.82603,21074.215000000004,21424.528800000004,62.22278961190554,
1658898000000,21108.72,21280.0,21094.13,21247.25,5553.57604,21094.516,21407.637799999997,49.80492887779575,
1658901600000,21248.63,21267.95,21162.02,21256.38,5045.4683,21127.684,21395.227799999997,49.088138425994416,
1658905200000,21256.38,21451.33,21240.0,21347.36,8228.86115,21154.923000000003,21382.459399999996,56.5299769928271,
1658908800000,21346.11,21439.29,21335.21,21355.33,5609.54225,21195.377,21371.1328,73.18817584885404,
1658912400000,21354.45,21365.74,21250.54,21292.31,5356.73909,21219.877,21360.025999999998,71.71332183049631,
1658916000000,21291.54,21336.2,21249.68,21287.5,4468.42009,21223.641000000003,21346.625599999996,81.54557966558313,
1658919600000,21287.5,21366.4,21129.65,21200.23,5673.38979,21231.578,21331.395599999996,78.42831700801385,
1658923200000,21200.6,21421.71,21157.07,21371.93,7708.49381,21235.864,21315.411399999997,41.06695037616845,
1658926800000,21371.93,21484.28,21280.81,21463.9,8913.94641,21254.387000000002,21301.819799999994,63.570170287727336,
1658930400000,21463.9,21493.69,21392.49,21459.9,7572.41644,21293.091,21292.2728,63.65468435112709,
1658934000000,21459.9,21547.53,21421.02,21530.86,7264.85048,21328.209,21281.9472,62.36724460108318,
