date,open,high,low,close,volume,
1.6585344E12,22684.83,23000.77,21934.57,22451.07,122137.77375,
1.6586208E12,22448.58,23014.64,22257.15,22579.68,115189.67277,
1.6587072E12,22577.13,22666.0,21250.0,21310.9,180344.76643,
1.6587936E12,21310.9,21347.82,20706.5,21254.67,177817.24326,
1.65888E12,21254.67,23112.63,21042.53,22952.45,210971.19796,
1.6589664E12,22954.31,24199.72,22582.13,23842.93,236029.0741,
1.6590528E12,23845.25,24442.66,23414.03,23773.75,198298.50623,
1.6591392E12,23777.28,24668.0,23502.25,23643.51,151060.13211,
1.6592256E12,23644.64,24194.82,23227.31,23293.32,127743.32483,
1.659312E12,23296.36,23509.68,22850.0,23268.01,144210.16219,
1.6593984E12,23266.9,23459.89,22654.37,22987.79,158073.28225,
1.6594848E12,22985.93,23647.68,22681.22,22818.37,145948.80995,
1.6595712E12,22816.91,23223.32,22400.0,22622.98,154854.67016,
1.6596576E12,22622.41,23472.86,22586.95,23312.42,175251.69749,
1.659744E12,23313.56,23354.36,22909.52,22954.21,83911.80307,
1.6598304E12,22954.21,23402.0,22844.62,23174.39,88890.00877,
1.6599168E12,23174.39,24245.0,23154.25,23810.0,170958.44152,
1.6600032E12,23810.98,23933.25,22865.0,23149.95,143182.50858,
1.6600896E12,23151.32,24226.0,22664.69,23954.05,208916.54953,
1.660176E12,23954.05,24918.54,23852.13,23934.39,249759.79557,
1.6602624E12,23933.09,24456.5,23583.0,24403.68,174207.5704,
1.6603488E12,24401.7,24888.0,24291.22,24441.38,152852.25435,
1.6604352E12,24443.06,25047.56,24144.0,24305.24,151206.14473,
1.6605216E12,24305.25,25211.32,23773.22,24094.82,242539.54758,
1.660608E12,24093.04,24247.49,23671.22,23854.74,179324.94821,
1.6606944E12,23856.15,24446.71,23180.4,23342.66,210668.68766,
1.6607808E12,23342.66,23600.0,23111.04,23191.2,144185.97011,
1.6608672E12,23191.45,23208.67,20783.57,20834.39,283995.87747,
1.6609536E12,20834.39,21382.85,20761.9,21140.07,183041.68363,
1.66104E12,21140.07,21800.0,21069.11,21515.61,159200.6841,
1.6611264E12,21516.7,21548.71,20890.18,21399.83,222222.04526,
1.6612128E12,21400.75,21684.87,20890.14,21529.12,200967.77164,
1.6612992E12,21529.11,21900.0,21145.0,21368.08,174383.22046,
1.6613856E12,21368.05,21819.88,21310.15,21559.04,169915.78301,
1.661472E12,21559.04,21886.77,20107.9,20241.05,273811.61955,
1.6615584E12,20239.14,20402.93,19800.0,20037.6,162582.46032,
1.6616448E12,20037.6,20171.18,19520.0,19555.61,139307.95976,
1.6617312E12,19555.61,20433.62,19550.79,20285.73,210509.49545,
1.6618176E12,20287.2,20576.25,19540.0,19811.66,256634.35529,
1.661904E12,19813.03,20490.0,19797.94,20050.02,276946.60765,
1.6619904E12,20048.44,20208.37,19565.66,20131.46,245289.97263,
1.6620768E12,20132.64,20441.26,19755.29,19951.86,245986.6033,
1.6621632E12,19950.98,20055.93,19652.72,19831.9,146639.03204,
1.6622496E12,19832.45,20029.23,19583.1,20000.3,145588.77893,
1.662336E12,20000.3,20057.27,19633.83,19796.84,222543.01057,
1.6624224E12,19795.34,20180.0,18649.51,18790.61,356315.05718,
1.6625088E12,18790.61,19464.06,18510.77,19292.84,287394.7788,
1.6625952E12,19292.85,19458.25,19012.0,19319.77,262813.28273,
1.6626816E12,19320.54,21597.22,19291.75,21360.11,428919.74652,
1.662768E12,21361.62,21810.8,21111.13,21648.34,307997.33504,
1.6628544E12,21647.21,21860.0,21350.0,21826.87,280702.55149,
1.6629408E12,21826.87,22488.0,21538.51,22395.74,395395.61828,
1.6630272E12,22395.44,22799.0,19860.0,20173.57,431915.03333,
1.6631136E12,20173.62,20541.48,19617.62,20226.71,340826.40151,
1.6632E12,20227.17,20330.24,19497.0,19701.88,333069.76076,
1.6632864E12,19701.88,19890.0,19320.01,19803.3,283791.07064,
1.6633728E12,19803.3,20189.0,19748.08,20113.62,179350.24338,
1.6634592E12,20112.61,20117.26,19335.62,19416.18,254217.46904,
1.6635456E12,19417.45,19686.2,18232.56,19537.02,380512.40306,
1.663632E12,19537.02,19634.62,18711.87,18875.0,324098.3286,
1.6637184E12,18874.31,19956.0,18125.98,18461.36,385034.10021,
1.6638048E12,18461.36,19550.17,18356.39,19401.63,379321.72111,
1.6638912E12,19401.63,19500.0,18531.42,19289.91,385886.91829,
1.6639776E12,19288.57,19316.14,18805.34,18920.5,239496.56746,
1.664064E12,18921.99,19180.21,18629.2,18807.38,191191.4492,
1.6641504E12,18809.13,19318.96,18680.72,19227.82,439239.21943,
1.6642368E12,19226.68,20385.86,18816.32,19079.13,593260.74161,
1.6643232E12,19078.1,19790.0,18471.28,19412.82,521385.45547,
1.6644096E12,19412.82,19645.52,18843.01,19591.51,406424.93256,
1.664496E12,19590.54,20185.0,19155.36,19422.61,444322.9534,
1.6645824E12,19422.61,19484.0,19159.42,19310.95,165625.13959,
1.6646688E12,19312.24,19395.91,18920.35,19056.8,206812.47032,
1.6647552E12,19057.74,19719.1,18959.68,19629.08,293585.75212,
1.6648416E12,19629.08,20475.0,19490.6,20337.82,327012.00127,
1.664928E12,20337.82,20365.6,19730.0,20158.26,312239.75224,
1.6650144E12,20158.26,20456.6,19853.0,19960.67,320122.1702,
1.6651008E12,19960.67,20068.82,19320.0,19530.09,220874.83913,
