date,value,buy,sell,
1658620800000,50.0,,,
1658707200000,50.0,,,
1658793600000,50.0,,,
1658880000000,50.0,,,
1658966400000,50.0,,,
1659052800000,50.0,,,
1659139200000,50.0,,,
1659225600000,50.0,,,
1659312000000,50.0,,,
1659398400000,50.0,,,
1659484800000,50.0,,,
1659571200000,50.0,,,
1659657600000,50.0,,,
1659744000000,50.0,,,
1659830400000,50.0,,,
1659916800000,50.0,,,
1660003200000,50.0,,,
1660089600000,50.0,,,
1660176000000,50.0,,,
1660262400000,50.0,,,
1660348800000,50.0,,,
1660435200000,50.0,,,
1660521600000,50.0,,,
1660608000000,50.0,,,
1660694400000,50.0,,,
1660780800000,50.0,,,
1660867200000,50.0,,,
1660953600000,50.0,,,
1661040000000,50.0,,,
1661126400000,50.0,,,
1661212800000,50.0,,,
1661299200000,50.0,,,
1661385600000,50.0,,,
1661472000000,50.0,,,
1661558400000,50.0,,,
1661644800000,50.0,,,
1661731200000,50.0,,,
1661817600000,50.0,,,
1661904000000,50.0,,,
1661990400000,50.0,,,
1662076800000,50.0,,,
1662163200000,50.0,,,
1662249600000,50.0,,,
1662336000000,50.0,,,
1662422400000,50.0,,,
1662508800000,50.0,,,
1662595200000,50.0,,,
1662681600000,50.0,,,
1662768000000,50.0,,,
1662854400000,50.0,,,
1662940800000,50.0,,,
1663027200000,50.0,,,
1663113600000,50.0,,,
1663200000000,50.0,,,
1663286400000,50.0,,,
1663372800000,50.0,,,
1663459200000,50.0,,,
1663545600000,50.0,,,
1663632000000,50.0,,,
1663718400000,50.0,,,
1663804800000,50.0,,,
1663891200000,50.0,,,
1663977600000,50.0,,,
1664064000000,50.0,,,
1664150400000,50.0,,,
1664236800000,50.0,,,
1664323200000,50.0,,,
1664409600000,50.0,,,
1664496000000,50.0,,,
1664582400000,50.0,,,
1664668800000,50.0,,,
1664755200000,50.0,,,
1664841600000,50.0,,,
1664928000000,50.0,,,
1665014400000,50.0,,,
1665100800000,50.0,,,
1665187200000,50.0,,,
1665273600000,50.0,,,
1665360000000,50.0,,,
1665446400000,50.0,,,
1665532800000,50.0,,,
1665619200000,50.0,,,
1665705600000,50.0,,,
1665792000000,50.0,,,
1665878400000,50.0,,,
1665964800000,50.0,,,
1666051200000,50.0,,,
1666137600000,50.0,,,
1666224000000,50.0,,,
1666310400000,50.0,,,
1666396800000,50.0,19204.35,,
1666483200000,50.953039285370245,,,
1666569600000,50.326410422638624,,,
1666656000000,52.28000426986594,,,
1666742400000,54.08042969431405,,,
1666828800000,52.839877423604555,,,
1666915200000,53.61243676562862,,,
1667001600000,54.179573898621925,,,
1667088000000,53.70522824255963,,,
1667174400000,53.34921515177552,,,
1667260800000,53.33067768500366,,,
1667347200000,52.46686297635692,,,
1667433600000,52.61261120527381,,,
1667520000000,55.06179589520083,,21299.37,
1667606400000,55.45454545454545,,,
1667692800000,55.45454545454545,,,
1667779200000,55.45454545454545,,,
1667865600000,55.45454545454545,,,
1667952000000,55.45454545454545,,,
1668038400000,55.45454545454545,,,
1668124800000,55.45454545454545,,,
1668211200000,55.45454545454545,,,
1668297600000,55.45454545454545,,,
1668384000000,55.45454545454545,,,
1668470400000,55.45454545454545,,,
1668556800000,55.45454545454545,,,
1668643200000,55.45454545454545,,,
1668729600000,55.45454545454545,,,
1668816000000,55.45454545454545,,,
1668902400000,55.45454545454545,,,
1668988800000,55.45454545454545,,,
1669075200000,55.45454545454545,,,
1669161600000,55.45454545454545,,,
1669248000000,55.45454545454545,,,
1669334400000,55.45454545454545,,,
1669420800000,55.45454545454545,,,
1669507200000,55.45454545454545,,,
1669593600000,55.45454545454545,,,
1669680000000,55.45454545454545,,,
1669766400000,55.45454545454545,,,
1669852800000,55.45454545454545,,,
1669939200000,55.45454545454545,,,
1670025600000,55.45454545454545,,,
1670112000000,55.45454545454545,,,
1670198400000,55.45454545454545,,,
1670284800000,55.45454545454545,,,
1670371200000,55.45454545454545,,,
1670457600000,55.45454545454545,,,
1670544000000,55.45454545454545,,,
1670630400000,55.45454545454545,,,
1670716800000,55.45454545454545,,,
1670803200000,55.45454545454545,,,
1670889600000,55.45454545454545,,,
1670976000000,55.45454545454545,,,
1671062400000,55.45454545454545,,,
1671148800000,55.45454545454545,,,
1671235200000,55.45454545454545,,,
1671321600000,55.45454545454545,,,
1671408000000,55.45454545454545,,,
1671494400000,55.45454545454545,,,
1671580800000,55.45454545454545,,,
1671667200000,55.45454545454545,,,
1671753600000,55.45454545454545,,,
1671840000000,55.45454545454545,,,
1671926400000,55.45454545454545,,,
1672012800000,55.45454545454545,,,
1672099200000,55.45454545454545,,,
1672185600000,55.45454545454545,,,
1672272000000,55.45454545454545,,,
1672358400000,55.45454545454545,,,
1672444800000,55.45454545454545,,,
1672531200000,55.45454545454545,,,
1672617600000,55.45454545454545,16675.18,,
1672704000000,55.45454545454545,,,
1672790400000,56.0371195120805,,,
1672876800000,55.97556313689512,,,
1672963200000,56.3706413309536,,,
1673049600000,56.34709626686325,,,
1673136000000,56.95986653653677,,,
1673222400000,57.12757523457017,,,
1673308800000,58.000205858483845,,,
1673395200000,59.67163936297702,,,
1673481600000,62.67582991335298,,,
1673568000000,66.27872355528068,,,
1673654400000,69.68713762828128,,,
1673740800000,69.40971824319409,,,
1673827200000,70.45444732285294,,,
1673913600000,70.28537513946966,,,
1674000000000,68.7644571153055,,,
1674086400000,70.07513234966851,,,
1674172800000,75.3814847739411,,,
1674259200000,75.76838205590039,,,
1674345600000,75.51673586949967,,,
1674432000000,76.21035084369812,,,
1674518400000,75.26735107343532,,,
1674604800000,76.69086303443473,,,
1674691200000,76.52029434274064,,,
1674777600000,76.73482712303282,,,
1674864000000,76.56336052635221,,,
1674950400000,78.95677615146909,,,
1675036800000,75.9100515093254,,,
1675123200000,76.90433163103923,,,
1675209600000,78.92471761787715,,,
1675296000000,78.11420871673293,,,
1675382400000,77.92451797440049,,,
1675468800000,77.57513316743261,,,
1675555200000,76.26508979213418,,,
1675641600000,75.69844523417437,,,
1675728000000,77.2878700832342,,,
1675814400000,76.36515631451817,,,
1675900800000,72.48537537934713,,,
1675987200000,71.9161701293888,,,
1676073600000,72.70552837973999,,,
1676160000000,72.44277477609891,,,
1676246400000,72.41094903268865,,,
1676332800000,73.8272112423156,,,
1676419200000,80.89142883996672,,,
1676505600000,78.20991873714543,,,
1676592000000,81.70925400396386,,,
1676678400000,81.91537308197518,,,
1676764800000,80.71753457424855,,,
1676851200000,82.61457502053405,,,
1676937600000,81.3174681281892,,,
1677024000000,80.41972942039386,,,
1677110400000,79.61490725083081,,,
1677196800000,77.10439816432675,,,
1677283200000,77.01055046536774,,,
1677369600000,78.33339730065882,,,
1677456000000,78.12468427490873,,23628.97,
1677542400000,76.95900406799478,,,
1677628800000,78.57988884732224,,,
1677715200000,78.57988884732224,,,
1677801600000,78.57988884732224,,,
1677888000000,78.57988884732224,,,
1677974400000,78.57988884732224,,,
1678060800000,78.57988884732224,,,
1678147200000,78.57988884732224,,,
1678233600000,78.57988884732224,,,
1678320000000,78.57988884732224,,,
1678406400000,78.57988884732224,21997.11,,
1678492800000,78.57988884732224,,,
1678579200000,78.57988884732224,,,
1678665600000,86.14016014477028,,,
1678752000000,88.12967138037074,,,
1678838400000,86.75523572795971,,,
1678924800000,89.30270175121468,,,
1679011200000,97.86314067429508,,,
1679097600000,96.12115288601251,,,
1679184000000,99.92699110658603,,,
1679270400000,99.0129869323797,,,
1679356800000,100.4006757524852,,,
1679443200000,97.34816044388162,,,
1679529600000,101.07919507105298,,,
1679616000000,98.07511991175855,,,
1679702400000,98.10541286648875,,,
1679788800000,99.90977270543043,,,
1679875200000,96.89783852486165,,,
1679961600000,97.38424049609566,,,
1680048000000,101.26920477177225,,,
1680134400000,100.12582434482697,,,
1680220800000,101.68630446449613,,,
1680307200000,101.6411865378166,,,
1680393600000,100.63787530367452,,,
1680480000000,99.30945064854238,,,
1680566400000,100.61501269633098,,,
1680652800000,100.63123085841531,,,
1680739200000,100.14472171870938,,,
1680825600000,99.68929143586108,,,
1680912000000,99.8037830866987,,,
1680998400000,101.1804692770201,,,
1681084800000,105.87294798863566,,,
1681171200000,107.8844287609803,,,
1681257600000,106.76862635414318,,,
1681344000000,108.50393397434254,,,
1681430400000,108.83647774271927,,,
1681516800000,108.22261673554496,,,
1681603200000,108.25676775526439,,,
1681689600000,105.13323547259992,,,
1681776000000,108.52597495673467,,,
1681862400000,102.87137342701942,,,
1681948800000,100.89429373416203,,,
1682035200000,97.39056343593911,,,
1682121600000,99.36964360693906,,,
1682208000000,98.56141471452062,,,
1682294400000,98.27681097591741,,,
1682380800000,101.09841395035114,,,
1682467200000,101.50744028485684,,,
1682553600000,105.28505747449067,,,
1682640000000,104.70966994873669,,,
1682726400000,104.41942200394554,,,
1682812800000,104.42928150336243,,,
1682899200000,100.26775112447685,,28838.16,
1682985600000,102.41683621477048,,,
1683072000000,103.68964043297464,,,
1683158400000,103.01805134225788,,,
1683244800000,103.01805134225788,,,
1683331200000,103.01805134225788,,,
1683417600000,103.01805134225788,,,
1683504000000,103.01805134225788,,,
1683590400000,103.01805134225788,,,
1683676800000,103.01805134225788,,,
1683763200000,103.01805134225788,,,
1683849600000,103.01805134225788,,,
1683936000000,103.01805134225788,,,
1684022400000,103.01805134225788,,,
1684108800000,103.01805134225788,,,
1684195200000,103.01805134225788,,,
1684281600000,103.01805134225788,,,
1684368000000,103.01805134225788,,,
1684454400000,103.01805134225788,,,
1684540800000,103.01805134225788,,,
1684627200000,103.01805134225788,,,
1684713600000,103.01805134225788,,,
1684800000000,103.01805134225788,,,
1684886400000,103.01805134225788,,,
1684972800000,103.01805134225788,,,
1685059200000,103.01805134225788,,,
1685145600000,103.01805134225788,,,
1685232000000,103.01805134225788,,,
1685318400000,103.01805134225788,,,
1685404800000,103.01805134225788,,,
1685491200000,103.01805134225788,,,
1685577600000,103.01805134225788,,,
1685664000000,103.01805134225788,,,
1685750400000,103.01805134225788,,,
1685836800000,103.01805134225788,,,
1685923200000,103.01805134225788,,,
1686009600000,103.01805134225788,,,
1686096000000,103.01805134225788,,,
1686182400000,103.01805134225788,,,
1686268800000,103.01805134225788,,,
1686355200000,103.01805134225788,,,
1686441600000,103.01805134225788,,,
1686528000000,103.01805134225788,,,
1686614400000,103.01805134225788,,,
1686700800000,103.01805134225788,,,
1686787200000,103.01805134225788,,,
1686873600000,103.01805134225788,,,
1686960000000,103.01805134225788,,,
1687046400000,102.33033167842702,,,
1687132800000,104.28983932752323,,,
1687219200000,109.97605562381412,,,
1687305600000,116.52574820799929,,,
1687392000000,116.10240162700475,,,
1687478400000,119.22429614435427,,,
1687564800000,118.59854195695603,,,
1687651200000,118.34691161786256,,,
1687737600000,117.59062200675673,,,
1687824000000,119.23960297677712,,,
1687910400000,116.850221975501,,,
1687996800000,118.287277131139,,,
1688083200000,118.38319735766699,,,
1688169600000,118.82569690410432,,,
1688256000000,118.94663642017625,,,
1688342400000,121.04130262256972,,,
1688428800000,119.52736365636108,,,
1688515200000,118.5106636449243,,,
1688601600000,116.14323279674187,,,
1688688000000,117.88863904106056,,,
1688774400000,117.65526812135477,,,
1688860800000,117.17384104677606,,,
1688947200000,118.14842784413575,,,
1689033600000,118.96633328321784,,,
1689120000000,118.02577893561049,,,
1689206400000,122.1991440608903,,,
