date,value,trade,
1627084800000,50.0,,
1627171200000,50.0,,
1627257600000,50.0,,
1627344000000,50.0,,
1627430400000,50.0,,
1627516800000,50.0,,
1627603200000,50.0,,
1627689600000,50.0,,
1627776000000,50.0,,
1627862400000,50.0,,
1627948800000,50.0,,
1628035200000,50.0,,
1628121600000,50.0,,
1628208000000,50.0,,
1628294400000,50.0,,
1628380800000,50.0,,
1628467200000,50.0,,
1628553600000,50.0,,
1628640000000,50.0,,
1628726400000,50.0,,
1628812800000,50.0,,
1628899200000,50.0,,
1628985600000,50.0,,
