date,value,buy,sell,
1541808000000,50.10171355407096,6433.05,,
1541894400000,50.232243352403984,,,
1541980800000,50.25763280005109,,,
1542067200000,50.2933805192843,,,
1542153600000,46.12476031894131,,,
1542240000000,44.80848101009503,,,
1542326400000,44.04944555988405,,,
1542412800000,43.83410254533107,,,
1542499200000,44.096641895080836,,,
1542585600000,38.24016859839346,,,
1542672000000,35.50519549095871,,,
1542758400000,36.30122476826288,,,
1542844800000,34.03432092573353,,,
1542931200000,34.4284804181938,,,
1543017600000,30.626527455650244,,,
1543104000000,31.820766075959625,,,
1543190400000,30.079486105118544,,,
1543276800000,30.18081025048326,,,
1543363200000,33.215394416502214,,,
1543449600000,33.4567499326323,,,
1543536000000,31.474503854367377,,,
1543622400000,32.63260534673731,,,
1543708800000,32.406670415374485,,,
1543795200000,30.24934618278222,,,
1543881600000,30.776060398847974,,,
1543968000000,29.360170342944464,,,
1544054400000,27.32675596067907,,,
1544140800000,26.507440042741504,,,
1544227200000,26.564916767783128,,,
1544313600000,27.61195889713224,,,
1544400000000,26.735867189824287,,,
1544486400000,26.327065930009237,,,
1544572800000,26.830259860217854,,,
1544659200000,25.717018250807246,,,
1544745600000,25.1103973682202,,,
1544832000000,25.01343460036542,,,
1544918400000,25.145444151782172,,,
1545004800000,27.32932605814028,,,
1545091200000,28.450044314710773,,,
1545177600000,28.52200704362468,,,
1545264000000,31.539145699603896,,,
1545350400000,29.896152486218828,,,
1545436800000,30.754798683487046,,,
1545523200000,30.60526574028932,,,
1545609600000,31.215079774267565,,,
1545696000000,29.172864755241054,,,
1545782400000,29.421696918531026,,,
1545868800000,27.787504341907077,,,
1545955200000,29.900825390693758,,,
1546041600000,28.77979560715827,,,
1546128000000,29.60993708712942,,,
1546214400000,28.838829967024875,,,
1546300800000,29.572787496553733,,,
1546387200000,30.051137151303976,,,
1546473600000,29.336338530122326,,,
1546560000000,29.532834163293092,,,
1546646400000,29.368893097964328,,,
1546732800000,31.056123140378727,,,
1546819200000,30.96149682476141,,,
1546905600000,30.803241126543814,,,
1546992000000,30.89296089246245,,,
1547078400000,27.927457830931203,,,
1547164800000,28.04762935767813,,,
1547251200000,27.90604035208778,,,
1547337600000,27.07800167913034,,,
1547424000000,28.2406203124927,,,
1547510400000,27.67184995615258,,,
1547596800000,27.9738753487155,,,
1547683200000,28.16367315213887,,,
1547769600000,27.99747351631389,,,
1547856000000,28.545994619929317,,,
1547942400000,27.564528916711712,,,
1548028800000,27.468111321045676,,,
1548115200000,27.81102462776422,,,
1548201600000,27.669980794362612,,,
1548288000000,27.800822119660623,,,
1548374400000,27.767099325699885,,,
1548460800000,27.766787798734892,,,
1548547200000,27.654560209595346,,,
1548633600000,26.745758170962887,,,
1548720000000,26.565773466936868,,,
1548806400000,26.932907995183793,,,
1548892800000,26.74536876225664,,,
1548979200000,26.963203992529586,,,
1549065600000,27.29575902766204,,,
1549152000000,26.932362822995053,,,
1549238400000,26.972160392773198,,,
1549324800000,27.03734741019846,,,
1549411200000,26.521614519648786,,,
1549497600000,26.467330945998363,,,
1549584000000,28.497240649907557,,,
1549670400000,28.54506003903433,,,
1549756800000,28.660948070012573,,,
1549843200000,28.279249656152118,,,
1549929600000,28.282442807543315,,,
1550016000000,28.110635686348424,,,
1550102400000,27.96390648583565,,,
1550188800000,28.05666363966299,,,
1550275200000,28.18080713521361,,,
1550361600000,28.56375165693405,,,
1550448000000,30.362975643264242,,,
1550534400000,30.434548963471908,,,
1550620800000,30.917026350508333,,,
1550707200000,30.66445586363842,,,
1550793600000,30.856745882781752,,,
1550880000000,32.069831884473345,,,
1550966400000,29.155497126942567,,,
1551052800000,29.812507496117597,,,
1551139200000,29.666946521723556,,,
1551225600000,29.735793980987513,,,
1551312000000,29.70168177832053,,,
1551398400000,29.77418967942318,,,
1551484800000,29.75027998485979,,,
1551571200000,29.65542002401873,,,
1551657600000,28.935403326173407,,,
1551744000000,30.044672966780325,,,
1551830400000,30.07668236243359,,,
1551916800000,30.168582817107193,,,
1552003200000,30.100436293514477,,,
1552089600000,30.70908210137399,,,
1552176000000,30.504876175819593,,,
1552262400000,30.152772823633686,,,
1552348800000,30.23937731990237,,,
1552435200000,30.109081166793096,,,
1552521600000,30.19568566306178,,,
1552608000000,30.55892610424627,,,
1552694400000,31.199269780794054,,,
1552780800000,31.00581153553199,,,
1552867200000,31.05775865694495,,,
1552953600000,31.273646843686677,,,
1553040000000,31.487899513862175,,,
1553126400000,31.00191744846955,,,
1553212800000,31.050905063715053,,,
1553299200000,31.199503426017802,,,
1553385600000,31.091792977870682,,,
1553472000000,30.655187936429808,,,
1553558400000,30.751994940802092,,,
1553644800000,31.449036524979014,,,
1553731200000,31.36928562194022,,,
1553817600000,31.956825477921306,,,
1553904000000,31.98579748566587,,,
1553990400000,31.962277199808725,,,
1554076800000,32.278554951020176,,,
1554163200000,37.82942029504719,,,
1554249600000,38.415947688392045,,,
1554336000000,38.15161705859355,,,
1554422400000,38.97942208632724,,,
1554508800000,39.28269358675014,,,
1554595200000,40.266963032652704,,,
1554681600000,40.78588907459358,,,
1554768000000,40.10909674314135,,,
1554854400000,41.341575298403896,,,
1554940800000,39.07615120895827,,,
1555027200000,39.31478086414465,,,
1555113600000,39.293051858336234,,,
1555200000000,39.96345788700606,,,
1555286400000,39.13518556882487,,,
1555372800000,40.29383223338355,,,
1555459200000,40.5204681004176,,,
1555545600000,40.95364634524353,,,
1555632000000,40.9555155070335,,,
1555718400000,41.21291466186084,,,
1555804800000,40.9357335447563,,,
